index,system time,time stamp,channel,Rx/Tx,ID,Frame,type,DLC,CAN-FD,data
74871,="15:44:27.316",0xB227594,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 20 00 
74872,="15:44:27.316",0xB22765C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0E A4 60 00 
74873,="15:44:27.316",0xB227724,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 12 00 00 00 
74874,="15:44:27.316",0xB227B70,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74875,="15:44:27.326",0xB229CA4,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 21 00 
74876,="15:44:27.326",0xB229D6C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0E A4 61 01 
74877,="15:44:27.326",0xB229E34,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 12 00 00 00 
74878,="15:44:27.336",0xB22C5A8,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 22 00 
74879,="15:44:27.336",0xB22C670,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0F A4 62 02 
74880,="15:44:27.336",0xB22C738,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 12 00 00 00 
74881,="15:44:27.336",0xB22CABC,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74882,="15:44:27.346",0xB22EAC4,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0B 23 00 
74883,="15:44:27.346",0xB22EB8C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0F A4 62 03 
74884,="15:44:27.346",0xB22EC54,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 0B 00 00 00 
74885,="15:44:27.348",0xB22F294,1,Rx,0x314,Standard Frame,data frame,8,CAN,x| 00 00 00 00 00 00 97 01 
74886,="15:44:27.348",0xB22F3C0,1,Rx,0x32E,Standard Frame,data frame,8,CAN,x| 00 00 00 00 64 00 00 00 
74887,="15:44:27.356",0xB231490,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 20 00 
74888,="15:44:27.356",0xB231558,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0F A4 64 00 
74889,="15:44:27.356",0xB231620,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 12 00 00 00 
74890,="15:44:27.358",0xB231AD0,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74891,="15:44:27.366",0xB233880,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 21 00 
74892,="15:44:27.366",0xB233948,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0C A4 61 01 
74893,="15:44:27.366",0xB233A74,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 12 00 00 00 
74894,="15:44:27.376",0xB235F90,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 22 00 
74895,="15:44:27.376",0xB236058,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0C A4 61 02 
74896,="15:44:27.376",0xB236184,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 12 00 00 00 
74897,="15:44:27.376",0xB23624C,1,Rx,0x310,Standard Frame,data frame,8,CAN,x| 01 3D 00 00 00 00 08 00 
74898,="15:44:27.376",0xB236378,1,Rx,0x318,Standard Frame,data frame,8,CAN,x| 01 41 FF 00 00 00 10 80 
74899,="15:44:27.376",0xB236634,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74900,="15:44:27.386",0xB238894,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 23 00 
74901,="15:44:27.386",0xB23895C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 10 A4 62 03 
74902,="15:44:27.386",0xB238A88,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 12 00 00 00 
74903,="15:44:27.396",0xB23ADB0,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0B 20 00 
74904,="15:44:27.396",0xB23AE78,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 10 A4 62 00 
74905,="15:44:27.396",0xB23AF40,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 0B 00 00 00 
74906,="15:44:27.396",0xB23B38C,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74907,="15:44:27.406",0xB23D77C,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 21 00 
